------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'svchost.exe', 'pid': 19012, 'username': None, 'vms': 9.4609375}
{'name': 'chrome.exe', 'pid': 19040, 'username': 'BHAVESH\\ahire', 'vms': 2.35546875}
{'name': 'OneDrive.exe', 'pid': 19256, 'username': 'BHAVESH\\ahire', 'vms': 123.0078125}
{'name': 'HPSystemEventUtilityBackground.exe', 'pid': 19320, 'username': 'BHAVESH\\ahire', 'vms': 39.88671875}
{'name': 'svchost.exe', 'pid': 19444, 'username': None, 'vms': 3.3046875}
{'name': 'chrome.exe', 'pid': 19452, 'username': 'BHAVESH\\ahire', 'vms': 66.13671875}
{'name': 'WmiPrvSE.exe', 'pid': 19552, 'username': None, 'vms': 5.80859375}
{'name': 'python.exe', 'pid': 19820, 'username': 'BHAVESH\\ahire', 'vms': 12.33984375}
{'name': 'HPQuickDrop.exe', 'pid': 19876, 'username': 'BHAVESH\\ahire', 'vms': 42.86328125}
{'name': 'chrome.exe', 'pid': 19904, 'username': 'BHAVESH\\ahire', 'vms': 62.10546875}
{'name': 'chrome.exe', 'pid': 19948, 'username': 'BHAVESH\\ahire', 'vms': 165.66796875}
{'name': 'Code.exe', 'pid': 19964, 'username': 'BHAVESH\\ahire', 'vms': 84.09765625}
{'name': 'Code.exe', 'pid': 20040, 'username': 'BHAVESH\\ahire', 'vms': 110.56640625}
{'name': 'chrome.exe', 'pid': 20220, 'username': 'BHAVESH\\ahire', 'vms': 24.58203125}
{'name': 'Code.exe', 'pid': 20452, 'username': 'BHAVESH\\ahire', 'vms': 373.0390625}
{'name': 'chrome.exe', 'pid': 20752, 'username': 'BHAVESH\\ahire', 'vms': 28.2421875}
{'name': 'OpenConsole.exe', 'pid': 20964, 'username': 'BHAVESH\\ahire', 'vms': 2.48828125}
{'name': 'RuntimeBroker.exe', 'pid': 21236, 'username': 'BHAVESH\\ahire', 'vms': 2.3125}
{'name': 'chrome.exe', 'pid': 21536, 'username': 'BHAVESH\\ahire', 'vms': 18.6953125}
{'name': 'chrome.exe', 'pid': 21680, 'username': 'BHAVESH\\ahire', 'vms': 252.46875}
{'name': 'chrome.exe', 'pid': 21844, 'username': 'BHAVESH\\ahire', 'vms': 58.93359375}
{'name': 'chrome.exe', 'pid': 22216, 'username': 'BHAVESH\\ahire', 'vms': 7.78125}
{'name': 'chrome.exe', 'pid': 22224, 'username': 'BHAVESH\\ahire', 'vms': 29.00390625}
{'name': 'chrome.exe', 'pid': 22972, 'username': 'BHAVESH\\ahire', 'vms': 15.578125}
{'name': 'chrome.exe', 'pid': 23536, 'username': 'BHAVESH\\ahire', 'vms': 22.515625}
{'name': 'svchost.exe', 'pid': 23872, 'username': None, 'vms': 1.33203125}
{'name': 'HPSystemEventUtilityHost.exe', 'pid': 24428, 'username': 'BHAVESH\\ahire', 'vms': 34.390625}
------------------------------------------------------------------------------------------
-----------------------------------------End of Automation script ---------------------------
-----------------------------------Thanks for using the automation script-----------------------------------------
