------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'pid': 15640, 'name': 'mc-extn-browserhost.exe', 'username': 'BHAVESH\\ahire', 'vms': 5.19921875}
{'pid': 15756, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 402.56640625}
{'pid': 16044, 'name': 'DesktopExtension.exe', 'username': 'BHAVESH\\ahire', 'vms': 24.1171875}
{'pid': 16092, 'name': 'WmiPrvSE.exe', 'username': None, 'vms': 7.3203125}
{'pid': 16208, 'name': 'svchost.exe', 'username': None, 'vms': 6.94921875}
{'pid': 16268, 'name': 'powershell.exe', 'username': 'BHAVESH\\ahire', 'vms': 60.0546875}
{'pid': 16380, 'name': 'conhost.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.46875}
{'pid': 16472, 'name': 'svchost.exe', 'username': None, 'vms': 4.95703125}
{'pid': 16528, 'name': 'python.exe', 'username': 'BHAVESH\\ahire', 'vms': 13.390625}
{'pid': 16868, 'name': 'PhoneExperienceHost.exe', 'username': 'BHAVESH\\ahire', 'vms': 76.9375}
{'pid': 17000, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 5.8984375}
{'pid': 17056, 'name': 'msedge.exe', 'username': 'BHAVESH\\ahire', 'vms': 17.50390625}
{'pid': 17076, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.89453125}
{'pid': 17136, 'name': 'svchost.exe', 'username': None, 'vms': 3.87109375}
{'pid': 17176, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 12.40625}
{'pid': 17256, 'name': 'CastSrv.exe', 'username': 'BHAVESH\\ahire', 'vms': 4.5}
{'pid': 17340, 'name': 'svchost.exe', 'username': None, 'vms': 2.90234375}
{'pid': 17876, 'name': 'backgroundTaskHost.exe', 'username': 'BHAVESH\\ahire', 'vms': 4.90234375}
{'pid': 18068, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 218.8828125}
{'pid': 18288, 'name': 'SystemSettings.exe', 'username': 'BHAVESH\\ahire', 'vms': 124.12109375}
{'pid': 18532, 'name': 'unsecapp.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.80078125}
{'pid': 18752, 'name': 'SecurityHealthService.exe', 'username': None, 'vms': 7.78125}
{'pid': 18848, 'name': 'svchost.exe', 'username': None, 'vms': 3.60546875}
{'pid': 18984, 'name': 'FileSyncHelper.exe', 'username': None, 'vms': 5.65625}
{'pid': 19012, 'name': 'svchost.exe', 'username': None, 'vms': 9.4609375}
{'pid': 19040, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.3515625}
{'pid': 19256, 'name': 'OneDrive.exe', 'username': 'BHAVESH\\ahire', 'vms': 118.92578125}
{'pid': 19320, 'name': 'HPSystemEventUtilityBackground.exe', 'username': 'BHAVESH\\ahire', 'vms': 39.90234375}
{'pid': 19444, 'name': 'svchost.exe', 'username': None, 'vms': 3.3046875}
{'pid': 19452, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 66.29296875}
{'pid': 19540, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 25.390625}
{'pid': 19876, 'name': 'HPQuickDrop.exe', 'username': 'BHAVESH\\ahire', 'vms': 42.86328125}
{'pid': 19948, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 158.28515625}
{'pid': 19964, 'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'vms': 84.09375}
{'pid': 20040, 'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'vms': 110.8515625}
{'pid': 20276, 'name': 'powershell.exe', 'username': 'BHAVESH\\ahire', 'vms': 53.9765625}
{'pid': 20288, 'name': 'OpenConsole.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.5}
{'pid': 20452, 'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'vms': 371.2421875}
{'pid': 20752, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 27.71875}
{'pid': 21536, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 18.6953125}
{'pid': 21680, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 232.953125}
{'pid': 21844, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 59.546875}
{'pid': 21972, 'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'vms': 2.49609375}
{'pid': 22216, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 7.78125}
{'pid': 22224, 'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'vms': 29.00390625}
{'pid': 22604, 'name': 'svchost.exe', 'username': None, 'vms': 1.80078125}
{'pid': 23184, 'name': 'SearchProtocolHost.exe', 'username': None, 'vms': 2.43359375}
{'pid': 23872, 'name': 'svchost.exe', 'username': None, 'vms': 1.33203125}
{'pid': 24140, 'name': 'conhost.exe', 'username': 'BHAVESH\\ahire', 'vms': 1.4453125}
{'pid': 24428, 'name': 'HPSystemEventUtilityHost.exe', 'username': 'BHAVESH\\ahire', 'vms': 34.390625}
------------------------------------------------------------------------------------------
-----------------------------------------End of Automation script ---------------------------
-----------------------------------Thanks for using the automation script-----------------------------------------
