------------------------------------------------------------------------------------------
-----------------------------Welcome to the ProcessInfo automation script-----------------------------------
------------------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'powershell.exe', 'username': 'BHAVESH\\ahire', 'pid': 16268, 'vms': 60.25390625}
{'name': 'conhost.exe', 'username': 'BHAVESH\\ahire', 'pid': 16380, 'vms': 1.47265625}
{'name': 'svchost.exe', 'username': None, 'pid': 16472, 'vms': 4.87890625}
{'name': 'PhoneExperienceHost.exe', 'username': 'BHAVESH\\ahire', 'pid': 16868, 'vms': 76.8828125}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 16964, 'vms': 24.90234375}
{'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 17000, 'vms': 5.99609375}
{'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 17076, 'vms': 2.96875}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 17096, 'vms': 5.48828125}
{'name': 'svchost.exe', 'username': None, 'pid': 17136, 'vms': 3.8515625}
{'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 17176, 'vms': 12.3671875}
{'name': 'CastSrv.exe', 'username': 'BHAVESH\\ahire', 'pid': 17256, 'vms': 4.52734375}
{'name': 'svchost.exe', 'username': None, 'pid': 17340, 'vms': 2.984375}
{'name': 'backgroundTaskHost.exe', 'username': 'BHAVESH\\ahire', 'pid': 17876, 'vms': 4.90234375}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 18068, 'vms': 230.484375}
{'name': 'SystemSettings.exe', 'username': 'BHAVESH\\ahire', 'pid': 18288, 'vms': 124.12109375}
{'name': 'unsecapp.exe', 'username': 'BHAVESH\\ahire', 'pid': 18532, 'vms': 2.5234375}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 18752, 'vms': 7.96875}
{'name': 'svchost.exe', 'username': None, 'pid': 18848, 'vms': 3.68359375}
{'name': 'FileSyncHelper.exe', 'username': None, 'pid': 18984, 'vms': 5.390625}
{'name': 'svchost.exe', 'username': None, 'pid': 19012, 'vms': 9.87890625}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 19040, 'vms': 2.3515625}
{'name': 'OneDrive.exe', 'username': 'BHAVESH\\ahire', 'pid': 19256, 'vms': 119.1953125}
{'name': 'HPSystemEventUtilityBackground.exe', 'username': 'BHAVESH\\ahire', 'pid': 19320, 'vms': 41.73828125}
{'name': 'svchost.exe', 'username': None, 'pid': 19444, 'vms': 3.4921875}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 19452, 'vms': 66.515625}
{'name': 'svchost.exe', 'username': None, 'pid': 19516, 'vms': 43.9375}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 19724, 'vms': 13.30078125}
{'name': 'HPQuickDrop.exe', 'username': 'BHAVESH\\ahire', 'pid': 19876, 'vms': 42.86328125}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 19948, 'vms': 158.53125}
{'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'pid': 19964, 'vms': 84.32421875}
{'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'pid': 20040, 'vms': 111.10546875}
{'name': 'powershell.exe', 'username': 'BHAVESH\\ahire', 'pid': 20276, 'vms': 53.88671875}
{'name': 'OpenConsole.exe', 'username': 'BHAVESH\\ahire', 'pid': 20288, 'vms': 2.5}
{'name': 'Code.exe', 'username': 'BHAVESH\\ahire', 'pid': 20452, 'vms': 394.0}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 20752, 'vms': 28.14453125}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 21536, 'vms': 18.6953125}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 21680, 'vms': 251.64453125}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 21844, 'vms': 59.546875}
{'name': 'RuntimeBroker.exe', 'username': 'BHAVESH\\ahire', 'pid': 21972, 'vms': 2.23046875}
{'name': 'svchost.exe', 'username': None, 'pid': 22104, 'vms': 1.66796875}
{'name': 'smartscreen.exe', 'username': 'BHAVESH\\ahire', 'pid': 22168, 'vms': 2.75390625}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 22216, 'vms': 7.78515625}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 22224, 'vms': 29.00390625}
{'name': 'audiodg.exe', 'username': None, 'pid': 22716, 'vms': 18.90625}
{'name': 'chrome.exe', 'username': 'BHAVESH\\ahire', 'pid': 23176, 'vms': 46.8984375}
{'name': 'svchost.exe', 'username': None, 'pid': 23872, 'vms': 1.33203125}
